"title","price","url","date"
"YESTON AMD Radeon RX550 4G D5 LP Gaming Graphics Card Radeon Chill 4GB Memory GDDR5 128Bit 6000MHz VGA + HD + DVI-D GPU","18999","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A029820314F3KAQWT7JMA&url=%2FWscoficey-Graphics-RX550-4G-Radeon-6000MHz%2Fdp%2FB09B26KP1R%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dnvidia%2B3060%26qid%3D1652212703%26sr%3D8-20-spons%26psc%3D1%26smid%3DA3OOAPGVP680UG&qualifier=1652212703&id=1310557500203051&widgetName=sp_btf","2022-05-10"
"Computer Graphics Cards, 4GB Graphics Card, for AMD Graphics Card, GPU for Gaming PC, Low Noise and Quiet Work, ATI HD6770 128Bit DDR5 650MHz","11830","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08063114GWBW6A3EKPF&url=%2FComputer-Graphics-Gaming-HD6770-128Bit%2Fdp%2FB09CP9WJP5%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dnvidia%2B3060%26qid%3D1652212703%26sr%3D8-15-spons%26psc%3D1%26smid%3DA2T5UG99TGO7BT&qualifier=1652212703&id=1310557500203051&widgetName=sp_mtf","2022-05-10"
"KingSpec SSD Internal Solid State Drive M.2 NVMe 2280 PCIe Computer Disk Data Storage NAND Flash Hard Drives PC Desktop Laptop Ultrabook Upgrade for CoRe Ryzen Motherboard","5999","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04541322SV4J0EFHZ8HE&url=%2FKingSpec-Internal-Computer-Ultrabook-Motherboard%2Fdp%2FB09XB3LZKT%2Fref%3Dsr_1_10_sspa%3Fkeywords%3Dnvidia%2B3060%26qid%3D1652212703%26sr%3D8-10-spons%26psc%3D1&qualifier=1652212703&id=1310557500203051&widgetName=sp_mtf","2022-05-10"
