"title","price","url","date"
"RUIPRO 8K HDMI Fiber Optic Cable CL2 Rated 100 Feet 48Gbps 8K60Hz 4K120Hz Dynamic HDR HDCP2.2/2.3 for Nvidia RTX 3080/3090 Xbox Series X PS5 Denon AV Receiver LG Samsung Sony TV","21999","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A022186220DBURFCFEW0S&url=%2FRUIPRO-Fiber-48Gbps-Dynamic-Samsung%2Fdp%2FB092ZQ5YYV%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dnvidia%2B3080%26qid%3D1652212708%26sr%3D8-1-spons%26psc%3D1&qualifier=1652212708&id=7434361025597180&widgetName=sp_atf","2022-05-10"
"Computer Graphics Cards, 4GB Graphics Card, for AMD Graphics Card, GPU for Gaming PC, Low Noise and Quiet Work, ATI HD6770 128Bit DDR5 650MHz","11830","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08063114GWBW6A3EKPF&url=%2FComputer-Graphics-Gaming-HD6770-128Bit%2Fdp%2FB09CP9WJP5%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dnvidia%2B3080%26qid%3D1652212708%26sr%3D8-15-spons%26psc%3D1%26smid%3DA2T5UG99TGO7BT&qualifier=1652212708&id=7434361025597180&widgetName=sp_mtf","2022-05-10"
"ASIAHORSE 16AWG RTX 12Pin to Dual 8P PCIe Sleeved Extension Cable Connector for NVIDIA Ampere GEFORCE RTX 3060ti 3070 3080 3090(Silver Moon - 300MM)","1699","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0788059YS7WBFZ4M6OW&url=%2FASIAHORSE-Sleeved-Extension-Connector-GEFORCE%2Fdp%2FB0915ZWLN7%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dnvidia%2B3080%26qid%3D1652212708%26sr%3D8-20-spons%26psc%3D1&qualifier=1652212708&id=7434361025597180&widgetName=sp_btf","2022-05-10"
